scheduler,seed,n_ues,load_mult,shared_lcg,k2_slots,M07.met,M07.total,M08.fraction,wall_s
TwoTier,579362555,8,1.0,False,2,5,8,0.5259764,12.4
TwoTier,661058651,8,1.0,False,2,8,8,0.9537664,13.8
TwoTier,87989972,8,1.0,False,2,8,8,0.9620924000000001,13.9
TwoTier,161576974,8,1.0,False,2,4,8,0.4388772,12.6
TwoTier,35492826,8,1.0,False,2,5,8,0.0,11.1
TwoTier,376383645,8,1.0,False,2,8,8,0.9605948000000001,14.0
TwoTier,1746484539,8,1.0,False,2,8,8,0.9596216,13.9
TwoTier,1826701614,16,1.0,False,2,12,16,0.0,22.8
TwoTier,1367864806,16,1.0,False,2,14,16,0.0,23.2
TwoTier,1097657231,16,1.0,False,2,5,16,0.0,19.4
TwoTier,579362555,16,1.0,False,2,5,16,0.0,18.9
TwoTier,661058651,16,1.0,False,2,12,16,0.0,22.8
TwoTier,87989972,16,1.0,False,2,5,16,0.0,22.4
TwoTier,161576974,16,1.0,False,2,5,16,0.0,18.4
TwoTier,35492826,16,1.0,False,2,13,16,0.0,23.4
TwoTier,376383645,16,1.0,False,2,13,16,0.0,23.0
TwoTier,1746484539,16,1.0,False,2,12,16,0.0,22.8
TwoTier,1826701614,24,1.0,False,2,13,24,0.0,29.0
TwoTier,1367864806,24,1.0,False,2,12,24,0.0,30.5
TwoTier,1097657231,24,1.0,False,2,13,24,0.0,29.7
TwoTier,579362555,24,1.0,False,2,13,24,0.0,28.4
TwoTier,661058651,24,1.0,False,2,12,24,0.0,28.8
TwoTier,87989972,24,1.0,False,2,11,24,0.0,29.4
TwoTier,161576974,24,1.0,False,2,5,24,0.0,22.7
TwoTier,35492826,24,1.0,False,2,5,24,0.0,24.9
TwoTier,376383645,24,1.0,False,2,5,24,0.0,27.1
TwoTier,1746484539,24,1.0,False,2,12,24,0.0,30.3
TwoTier,1826701614,32,1.0,False,2,5,32,0.0,29.2
TwoTier,1367864806,32,1.0,False,2,11,32,0.0,35.6
TwoTier,1097657231,32,1.0,False,2,6,32,0.0,33.0
TwoTier,579362555,32,1.0,False,2,13,32,0.0,36.4
TwoTier,661058651,32,1.0,False,2,12,32,0.0,34.8
TwoTier,87989972,32,1.0,False,2,10,32,0.0,36.1
TwoTier,161576974,32,1.0,False,2,8,32,0.0,36.6
TwoTier,35492826,32,1.0,False,2,5,32,0.0,31.5
TwoTier,376383645,32,1.0,False,2,12,32,0.0,34.7
TwoTier,1746484539,32,1.0,False,2,11,32,0.0,36.2
