M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.median_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.status,M07.met,M07.status,M07.total,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,M20.excluded_5qi,M20.flow,M20.gap_count_over_t_live,M20.gap_count_over_t_live_over_2,M20.gap_count_over_t_live_over_4,M20.max_gap_ms,M20.median_gap_ms,M20.role,M20.status,M20.t_live_s,duty_cycle,load_mult,n_ues,scheduler,seed,snr_spread_db
ue4_qfi9,6.25,19.25,21.25,23.0,ok,0.0,ok,ue2_qfi1,0,0,0,215.0,199.99999999999994,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue1_qfi2,22.751,ok,4,ok,4,ue3_qfi2,0.955746,ok,0.9999414115459355,proxy,5,0.9998726473058717,47650313.6,ok,0.00205,ok,0.8206011363636364,0.0596921875,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue3_qfi9,16.75,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,215.0,199.99999999999994,data,ok,2.0,0.5,1.0,4,Reservation,35492826,
ue4_qfi9,8.0,21.5,24.25,26.25,ok,0.0,ok,ue1_qfi1,0,0,0,220.5,200.00000000000017,data,ok,2.0,False,,proxy,3,0,ue3_qfi2,0.9868421052631579,76,150.0,ok,ue4_qfi2,25.742,ok,4,ok,4,ue3_qfi2,0.9544756,ok,0.9998954403061852,proxy,5,0.9997792413488256,47648408.0,ok,0.0024,ok,0.8949977272727273,0.03311875,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue1_qfi1,19.0,ok,,15.0,ue3_qfi2,1,138.5,138.5,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,220.5,200.00000000000017,data,ok,2.0,0.5,1.0,4,TwoTier,35492826,
ue2_qfi9,5.0,19.5,23.5,26.5,ok,0.0,ok,ue2_qfi1,0,0,0,220.25,199.99999999999994,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue4_qfi2,26.36,ok,4,ok,4,ue1_qfi2,0.9678148000000001,ok,0.9999298843655386,proxy,5,0.9998312482569129,47776675.2,ok,0.002147727272727273,ok,0.6946920454545454,0.039853125,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue2_qfi9,21.5,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,220.25,199.99999999999994,data,ok,2.0,0.5,1.0,4,PF,376383645,
ue2_qfi9,6.25,20.0,22.25,24.0,ok,0.0,ok,ue2_qfi1,0,0,0,216.0,199.8749999999998,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue4_qfi2,23.11,ok,4,ok,4,ue1_qfi2,0.9678148000000001,ok,0.9998586417158746,proxy,5,0.9996299402382876,47772609.6,ok,0.002331818181818182,ok,0.8306965909090909,0.0607734375,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue2_qfi9,17.75,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,216.0,199.8749999999998,data,ok,2.0,0.5,1.0,4,Reservation,376383645,
ue4_qfi9,8.0,22.5,25.0,26.5,ok,0.0,ok,ue2_qfi1,0,0,0,216.0,199.99999999999963,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue3_qfi2,25.824,ok,4,ok,4,ue1_qfi2,0.9678148000000001,ok,0.9998961259852341,proxy,5,0.9997445257453743,47768881.6,ok,0.0025272727272727274,ok,0.898209090909091,0.0334484375,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue3_qfi1,19.75,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,216.0,199.99999999999963,data,ok,2.0,0.5,1.0,4,TwoTier,376383645,
ue2_qfi9,6.0,24.5,27.75,29.75,ok,0.0,ok,ue4_qfi1,0,0,0,226.25,199.87500000000026,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue2_qfi2,28.697,ok,4,ok,4,ue1_qfi2,0.965898,ok,0.9999136865460889,proxy,5,0.999809069734344,47764923.2,ok,0.0023568181818181817,ok,0.7084261363636364,0.042728125,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue4_qfi1,26.25,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue4_qfi1,0,0,0,226.25,199.87500000000026,data,ok,2.0,0.5,1.0,4,PF,1746484539,
ue2_qfi9,7.5,22.5,25.0,26.5,ok,0.0,ok,ue3_qfi1,0,0,0,216.5,200.1250000000001,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue2_qfi2,23.439,ok,4,ok,4,ue1_qfi2,0.965898,ok,0.9998932966601624,proxy,5,0.9997116564528586,47777040.0,ok,0.002409090909090909,ok,0.8395147727272727,0.065125,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue2_qfi9,19.0,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue3_qfi1,0,0,0,216.5,200.1250000000001,data,ok,2.0,0.5,1.0,4,Reservation,1746484539,
ue2_qfi9,8.5,22.75,25.75,28.75,ok,0.0,ok,ue3_qfi1,0,0,0,216.75,199.7499999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue4_qfi2,26.973,ok,4,ok,4,ue1_qfi2,0.965898,ok,0.999866034305968,proxy,5,0.9996279931932781,47769217.6,ok,0.0020818181818181816,ok,0.9039284090909091,0.0355296875,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue2_qfi9,20.25,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue3_qfi1,0,0,0,216.75,199.7499999999999,data,ok,2.0,0.5,1.0,4,TwoTier,1746484539,
ue4_qfi2,36.981,78.668,90.852,100.971,ok,0.0,ok,ue3_qfi1,0,2,4,1037.25,997.6250000000002,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.9375,16,150.0,ok,ue4_qfi2,114.971,ok,4,ok,4,ue2_qfi2,0.9556968,ok,0.9973906581754088,proxy,5,0.9896241486437387,47619931.2,ok,0.002690909090909091,ok,0.6908590909090909,0.0391203125,ok,ue1_qfi1,0.0,4,100.0,data,ok,0.0,ue2_qfi9,92.5,ok,,3.2,ue1_qfi2,0,0.0,0.0,3.03,ok,330.0,,pending,,pending,"[8, 9]",ue3_qfi1,0,2,4,1037.25,997.6250000000002,data,ok,2.0,0.1,1.0,4,PF,1826701614,
ue2_qfi9,6.25,77.5,86.0,88.5,ok,0.0,ok,ue3_qfi1,0,2,4,1026.25,994.6250000000001,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,0.9375,16,150.0,ok,ue4_qfi2,93.471,ok,4,ok,4,ue2_qfi2,0.9558788,ok,0.9974120609765424,proxy,5,0.9895377254631205,47611784.0,ok,0.002765909090909091,ok,0.8225136363636364,0.063321875,ok,ue1_qfi1,0.0,4,100.0,data,ok,0.0,ue2_qfi9,82.25,ok,,3.0,ue1_qfi2,1,667.75,667.75,3.03,ok,330.0,,pending,,pending,"[8, 9]",ue3_qfi1,0,2,4,1026.25,994.6250000000001,data,ok,2.0,0.1,1.0,4,Reservation,1826701614,
ue2_qfi2,43.0,92.894,105.711,110.461,ok,0.0,ok,ue3_qfi1,0,2,4,1037.25,1008.9999999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,16,150.0,ok,ue2_qfi2,113.461,ok,4,ok,4,ue1_qfi2,0.9709291999999999,ok,0.9948465145391093,proxy,5,0.9894126803787427,47639923.2,ok,0.0027613636363636365,ok,0.8855852272727273,0.034159375,ok,ue1_qfi1,0.0,4,100.0,data,ok,0.0,ue2_qfi9,90.75,ok,,3.2,ue1_qfi2,0,0.0,0.0,3.03,ok,330.0,,pending,,pending,"[8, 9]",ue3_qfi1,0,2,4,1037.25,1008.9999999999999,data,ok,2.0,0.1,1.0,4,TwoTier,1826701614,
