M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.status,M07.met,M07.status,M07.total,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,bg,scheduler,seed
ue1_qfi9,16.5,78.25,101.75,111.75,ok,0.3638641731064456,ok,ue1_qfi1,0,0,0,132.49999999999983,data,ok,2.0,False,,proxy,3,0,ue6_qfi2,0.0,147,150.0,ok,ue3_qfi2,31.557,ok,4,ok,8,ue6_qfi2,0.0,ok,0.7185641538361155,proxy,5,0.7183521503015288,59317948.8,ok,0.0051045454545454545,ok,0.9326772727272727,0.039590625,ok,ue2_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue1_qfi9,95.25,ok,30.2,ue3_qfi2,2,71.75,139.5,30.303,ok,33.0,,pending,,pending,False,TwoTier,161576974
ue8_qfi9,298.0,300.0,300.25,300.25,ok,0.2924727803460798,ok,ue1_qfi1,0,0,0,118.24999999999974,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.993421052631579,152,150.0,ok,ue5_qfi2,27.117,ok,8,ok,8,ue6_qfi2,0.9690408,ok,0.9500964252442554,proxy,5,0.9420392184478527,66189430.4,ok,0.0048386363636363635,ok,0.9343806818181818,0.0378953125,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue4_qfi1,20.25,ok,30.2,ue2_qfi2,1,67.75,67.75,30.303,ok,33.0,,pending,,pending,False,PF,35492826
ue8_qfi9,297.75,300.0,300.25,300.25,ok,0.31298573610087715,ok,ue2_qfi1,0,0,0,125.24999999999986,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue3_qfi2,24.169,ok,8,ok,8,ue6_qfi2,0.9624115999999999,ok,0.946958791563803,proxy,5,0.9376628503820489,65111737.6,ok,0.004243181818181818,ok,0.9308284090909091,0.1187140625,ok,ue2_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue4_qfi1,20.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,Reservation,35492826
ue5_qfi9,25.0,57.0,62.0,65.25,ok,0.36278672967790515,ok,ue5_qfi1,0,0,0,120.75000000000014,data,ok,2.0,False,,proxy,3,0,ue6_qfi2,0.0,147,150.0,ok,ue1_qfi2,24.236,ok,5,ok,8,ue6_qfi2,0.0,ok,0.7186987340600944,proxy,5,0.7186738255168156,59622276.8,ok,0.0051045454545454545,ok,0.9344102272727273,0.03814375,ok,ue1_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue5_qfi9,40.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,TwoTier,35492826
ue8_qfi9,297.25,300.0,300.0,300.25,ok,0.2767342514043939,ok,ue1_qfi1,0,0,0,139.0,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,24.929,ok,8,ok,8,ue2_qfi2,0.9666928,ok,0.953978379126973,proxy,5,0.9466102058041659,67520502.4,ok,0.0046409090909090905,ok,0.9338352272727273,0.036971875,ok,ue8_qfi1,0.3877551020408163,49,100.0,data,ok,0.0,ue1_qfi1,40.75,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,PF,376383645
ue7_qfi9,296.75,300.0,300.0,300.25,ok,0.2912108612503959,ok,ue6_qfi1,0,0,0,121.24999999999986,data,ok,2.0,False,,proxy,3,0,ue8_qfi2,0.0,148,150.0,ok,ue1_qfi2,21.624,ok,7,ok,8,ue8_qfi2,0.0,ok,0.8860605943177713,proxy,5,0.8771573690744221,66251804.8,ok,0.004134090909090909,ok,0.9348625,0.0970078125,ok,ue5_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue2_qfi1,21.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,Reservation,376383645
ue3_qfi9,19.25,52.25,59.25,63.25,ok,0.36351882224112114,ok,ue1_qfi1,0,0,0,119.49999999999994,data,ok,2.0,False,,proxy,3,0,ue6_qfi2,0.0,147,150.0,ok,ue5_qfi2,25.39,ok,5,ok,8,ue6_qfi2,0.0,ok,0.7186466977398004,proxy,5,0.7185986132705294,59612532.8,ok,0.005170454545454546,ok,0.9336420454545454,0.03781875,ok,ue1_qfi1,0.40816326530612246,49,100.0,data,ok,0.0,ue3_qfi9,44.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,TwoTier,376383645
ue7_qfi9,297.75,300.0,300.0,300.25,ok,0.24764223402058153,ok,ue3_qfi1,0,0,0,119.00000000000021,data,ok,2.0,False,,proxy,3,0,ue5_qfi2,0.993421052631579,152,150.0,ok,ue3_qfi2,26.203,ok,8,ok,8,ue3_qfi2,0.9658652,ok,0.9625291709040674,proxy,5,0.9584684626720545,70001803.2,ok,0.0054181818181818185,ok,0.9338920454545454,0.0346359375,ok,ue5_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue6_qfi1,19.5,ok,30.2,ue5_qfi2,1,71.0,71.0,30.303,ok,33.0,,pending,,pending,False,PF,1746484539
ue7_qfi9,296.0,300.0,300.0,300.25,ok,0.26624522018979246,ok,ue6_qfi1,0,0,0,123.24999999999963,data,ok,2.0,False,,proxy,3,0,ue8_qfi2,0.0,147,150.0,ok,ue2_qfi2,21.372,ok,7,ok,8,ue8_qfi2,0.0,ok,0.8909269259666667,proxy,5,0.8891916396815399,68256491.2,ok,0.004002272727272728,ok,0.9332170454545454,0.0918578125,ok,ue3_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue7_qfi1,21.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,Reservation,1746484539
ue7_qfi9,295.0,300.0,300.25,300.25,ok,0.2881572022960602,ok,ue1_qfi1,0,0,0,207.75000000000077,data,ok,2.0,False,,proxy,3,0,ue6_qfi2,0.5460526315789473,152,150.0,ok,ue8_qfi2,66.698,ok,5,ok,8,ue7_qfi2,0.5272532,ok,0.8530688041833443,proxy,5,0.7187199456470363,65777924.8,ok,0.005038636363636364,ok,0.9337534090909091,0.0344390625,ok,ue8_qfi1,0.44,25,100.0,data,ok,0.0,ue1_qfi9,284.5,ok,16.6,ue8_qfi2,6,94.25,462.25,30.303,ok,33.0,,pending,,pending,False,TwoTier,1746484539
