M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.status,M07.met,M07.status,M07.total,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,k2_slots,load_mult,n_ues,scheduler,seed,shared_lcg
ue2_qfi9,4.0,11.0,12.5,13.5,ok,0.0,ok,ue2_qfi1,0,0,0,109.99999999999987,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.993421052631579,152,150.0,ok,ue2_qfi2,12.34,ok,2,ok,2,ue1_qfi2,0.9700324,ok,0.9999885022030224,proxy,5,0.9999715511247578,15855691.2,ok,0.0011090909090909092,ok,0.4238534090909091,0.0203375,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue2_qfi1,9.5,ok,30.2,ue2_qfi2,1,67.75,67.75,30.303,ok,33.0,,pending,,pending,4,0.5,2,TwoTier,161576974,False
ue2_qfi9,3.25,10.25,11.5,12.0,ok,0.0,ok,ue1_qfi1,0,0,0,109.75,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.993421052631579,152,150.0,ok,ue1_qfi2,12.004,ok,2,ok,2,ue1_qfi2,0.9527072,ok,0.9999885573173453,proxy,5,0.9999829719431225,15774257.6,ok,0.0012568181818181819,ok,0.26171363636363637,0.0233015625,ok,ue1_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue1_qfi1,10.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,PF,35492826,False
ue2_qfi2,4.772,10.563,11.75,12.048,ok,0.0,ok,ue2_qfi1,0,0,0,109.75,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.5,ok,2,ok,2,ue1_qfi2,0.9528272,ok,0.9999893223967243,proxy,5,0.9999844030460071,15777608.0,ok,0.0013136363636363636,ok,0.37311022727272725,0.0267078125,ok,ue1_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue2_qfi1,9.75,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,Reservation,35492826,False
ue2_qfi9,4.25,11.5,12.75,13.5,ok,0.0,ok,ue2_qfi1,0,0,0,107.75000000000023,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.758,ok,2,ok,2,ue1_qfi2,0.9528272,ok,0.9999872201622264,proxy,5,0.9999760395778831,15777171.2,ok,0.0012159090909090908,ok,0.4391943181818182,0.0229296875,ok,ue1_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue1_qfi9,9.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,TwoTier,35492826,False
ue2_qfi2,3.952,10.127,10.92,11.813,ok,0.0,ok,ue1_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,11.82,ok,2,ok,2,ue2_qfi2,0.9672256,ok,0.9999851783631886,proxy,5,0.9999789845210573,15833201.6,ok,0.0010477272727272727,ok,0.23377272727272727,0.016546875,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue1_qfi9,9.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,PF,376383645,False
ue2_qfi2,4.021,10.149,11.42,12.086,ok,0.0,ok,ue2_qfi1,0,0,0,106.7499999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,12.338,ok,2,ok,2,ue2_qfi2,0.9672256,ok,0.9999878554681715,proxy,5,0.9999777653460635,15834427.2,ok,0.0009431818181818182,ok,0.3469147727272727,0.0189109375,ok,ue2_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue2_qfi1,10.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,Reservation,376383645,False
ue2_qfi9,4.0,11.0,12.25,13.25,ok,0.0,ok,ue1_qfi1,0,0,0,109.99999999999987,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.182,ok,2,ok,2,ue2_qfi2,0.9672256,ok,0.9999873666974117,proxy,5,0.9999802531831302,15831153.6,ok,0.001043181818181818,ok,0.40410454545454544,0.0162359375,ok,ue1_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue1_qfi1,9.5,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,TwoTier,376383645,False
ue2_qfi9,3.0,10.0,11.25,12.0,ok,0.0,ok,ue1_qfi1,0,0,0,107.49999999999993,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.9868421052631579,152,150.0,ok,ue2_qfi2,12.074,ok,2,ok,2,ue1_qfi2,0.968106,ok,0.9999862247425734,proxy,5,0.9999787144981677,15853744.0,ok,0.0011840909090909092,ok,0.2562102272727273,0.0208734375,ok,ue2_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue1_qfi9,9.0,ok,30.0,ue2_qfi2,2,68.75,136.75,30.303,ok,33.0,,pending,,pending,4,0.5,2,PF,1746484539,False
ue1_qfi2,4.036,10.061,11.522,12.606,ok,0.0,ok,ue1_qfi1,0,0,0,110.0,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,0.993421052631579,152,150.0,ok,ue2_qfi2,12.85,ok,2,ok,2,ue1_qfi2,0.9671988,ok,0.9999865569360098,proxy,5,0.9999748555348333,15853804.8,ok,0.0012636363636363637,ok,0.36713863636363636,0.024159375,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue1_qfi1,10.0,ok,30.2,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,Reservation,1746484539,False
ue2_qfi9,4.0,11.25,12.5,13.25,ok,0.0,ok,ue1_qfi1,0,0,0,108.99999999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.292,ok,2,ok,2,ue1_qfi2,0.968106,ok,0.9999874395631764,proxy,5,0.9999772248835769,15857152.0,ok,0.00125,ok,0.4320068181818182,0.0205,ok,ue2_qfi1,0.3877551020408163,49,100.0,data,ok,0.0,ue1_qfi9,9.75,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,TwoTier,1746484539,False
